	cc_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
0	1	31.15	39.8	28.144	34.95	2017-09-08T00:00:00.0000000Z	2017-09-07T00:00:00.0000000Z	10299	195531.52362663	NEO
1	2	25.89	31.39	22.32	31.003	2017-09-09T00:00:00.0000000Z	2017-09-08T00:00:00.0000000Z	9631	296027.1755769	NEO
2	3	22.6	25.924	22.18	25.89	2017-09-10T00:00:00.0000000Z	2017-09-09T00:00:00.0000000Z	5378	133128.76437294	NEO
3	4	23.805	25.4	19.529	22.59	2017-09-11T00:00:00.0000000Z	2017-09-10T00:00:00.0000000Z	5913	172473.13192489	NEO
4	5	22.048	24.5	21.509	23.773	2017-09-12T00:00:00.0000000Z	2017-09-11T00:00:00.0000000Z	3137	79796.22787584	NEO
5	6	21.0	23.8	19.88	21.854	2017-09-13T00:00:00.0000000Z	2017-09-12T00:00:00.0000000Z	5615	147377.57802081	NEO
6	7	20.089	21.395	17.534	20.75	2017-09-14T00:00:00.0000000Z	2017-09-13T00:00:00.0000000Z	5924	144270.36913976	NEO
7	8	15.716	20.986	14.7	20.1	2017-09-15T00:00:00.0000000Z	2017-09-14T00:00:00.0000000Z	6600	170052.66499031	NEO
8	9	18.526	19.33	13.19	15.8	2017-09-16T00:00:00.0000000Z	2017-09-15T00:00:00.0000000Z	7904	240144.38735151	NEO
9	10	20.349	23.197	18.25	18.58	2017-09-17T00:00:00.0000000Z	2017-09-16T00:00:00.0000000Z	6371	177575.92380705	NEO
10	11	19.855	20.496	18.204	20.354	2017-09-18T00:00:00.0000000Z	2017-09-17T00:00:00.0000000Z	2688	61551.33836241	NEO
11	12	21.22	21.399	19.512	19.947	2017-09-19T00:00:00.0000000Z	2017-09-18T00:00:00.0000000Z	5031	135649.87942933	NEO
12	13	19.911	21.919	18.9	21.1	2017-09-20T00:00:00.0000000Z	2017-09-19T00:00:00.0000000Z	6595	172849.42345043	NEO
13	14	19.671	20.6	19.506	19.89	2017-09-21T00:00:00.0000000Z	2017-09-20T00:00:00.0000000Z	2935	76379.6577064	NEO
14	15	17.428	19.969	16.562	19.727	2017-09-22T00:00:00.0000000Z	2017-09-21T00:00:00.0000000Z	4229	142266.01861221	NEO
15	16	18.55	19.5	16.992	17.273	2017-09-23T00:00:00.0000000Z	2017-09-22T00:00:00.0000000Z	3243	109065.5602432	NEO
16	17	20.053	20.6	18.167	18.588	2017-09-24T00:00:00.0000000Z	2017-09-23T00:00:00.0000000Z	3662	89539.96781671	NEO
17	18	19.552	20.38	19.1	20.173	2017-09-25T00:00:00.0000000Z	2017-09-24T00:00:00.0000000Z	1420	45314.17268657	NEO
18	19	25.9	27.4	19.554	19.581	2017-09-26T00:00:00.0000000Z	2017-09-25T00:00:00.0000000Z	16733	597179.64313209	NEO
19	20	26.402	27.356	24.377	25.9	2017-09-27T00:00:00.0000000Z	2017-09-26T00:00:00.0000000Z	18021	525013.64044025	NEO
20	21	31.868	34.01	26.395	26.405	2017-09-28T00:00:00.0000000Z	2017-09-27T00:00:00.0000000Z	31369	1157394.94535206	NEO
21	22	29.908	32.8	27.61	31.866	2017-09-29T00:00:00.0000000Z	2017-09-28T00:00:00.0000000Z	23571	753447.35873833	NEO
22	23	28.623	30.5	26.081	29.848	2017-09-30T00:00:00.0000000Z	2017-09-29T00:00:00.0000000Z	20725	610633.77994257	NEO
23	24	34.3	34.489	28.457	28.623	2017-10-01T00:00:00.0000000Z	2017-09-30T00:00:00.0000000Z	20710	684863.40752731	NEO
24	25	35.629	36.0	31.85	34.2	2017-10-02T00:00:00.0000000Z	2017-10-01T00:00:00.0000000Z	18239	541279.1065471	NEO
25	26	36.58	38.939	34.56	35.646	2017-10-03T00:00:00.0000000Z	2017-10-02T00:00:00.0000000Z	31517	865977.89717375	NEO
26	27	33.55	36.881	31.9	36.58	2017-10-04T00:00:00.0000000Z	2017-10-03T00:00:00.0000000Z	23862	619554.69632123	NEO
27	28	31.15	35.235	30.1	33.537	2017-10-05T00:00:00.0000000Z	2017-10-04T00:00:00.0000000Z	18524	497727.3591487	NEO
28	29	32.2	33.68	28.76	31.19	2017-10-06T00:00:00.0000000Z	2017-10-05T00:00:00.0000000Z	20042	651763.607029	NEO
29	30	33.449	34.49	32.001	32.25	2017-10-07T00:00:00.0000000Z	2017-10-06T00:00:00.0000000Z	13480	371457.65431234	NEO
30	31	35.877	36.373	33.05	33.43	2017-10-08T00:00:00.0000000Z	2017-10-07T00:00:00.0000000Z	9163	260400.08492947	NEO
31	32	32.125	37.225	31.01	35.878	2017-10-09T00:00:00.0000000Z	2017-10-08T00:00:00.0000000Z	24639	755912.8652499	NEO
32	33	28.95	33.0	26.589	32.14	2017-10-10T00:00:00.0000000Z	2017-10-09T00:00:00.0000000Z	25296	764381.83116185	NEO
33	34	29.36	31.524	28.0	29.077	2017-10-11T00:00:00.0000000Z	2017-10-10T00:00:00.0000000Z	13999	309980.02526611	NEO
34	35	30.007	31.307	29.323	29.333	2017-10-12T00:00:00.0000000Z	2017-10-11T00:00:00.0000000Z	9394	195833.89339061	NEO
35	36	28.248	30.479	27.501	30.002	2017-10-13T00:00:00.0000000Z	2017-10-12T00:00:00.0000000Z	11965	329855.89105845	NEO
36	37	29.314	29.85	26.619	28.056	2017-10-14T00:00:00.0000000Z	2017-10-13T00:00:00.0000000Z	15796	454948.23205987	NEO
