	cc_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
0	1	2498.0	2500.0	2432.0	2436.01	2017-12-29T00:00:00.0000000Z	2017-12-28T00:00:00.0000000Z	689	413.643122369	BCH
1	2	2600.0	2895.0	2298.57	2490.63	2017-12-30T00:00:00.0000000Z	2017-12-29T00:00:00.0000000Z	15691	11900.499230763	BCH
2	3	2240.42	2628.91	2120.0	2600.0	2017-12-31T00:00:00.0000000Z	2017-12-30T00:00:00.0000000Z	11876	9515.133242034	BCH
3	4	2377.0	2504.0	2189.0	2232.58	2018-01-01T00:00:00.0000000Z	2017-12-31T00:00:00.0000000Z	5188	3199.328528593	BCH
4	5	2310.0	2410.0	2250.0	2377.0	2018-01-02T00:00:00.0000000Z	2018-01-01T00:00:00.0000000Z	2629	2772.40178606	BCH
5	6	2550.0	2699.0	2300.14	2321.68	2018-01-03T00:00:00.0000000Z	2018-01-02T00:00:00.0000000Z	9464	7043.441371935	BCH
6	7	2547.82	2758.98	2490.01	2550.0	2018-01-04T00:00:00.0000000Z	2018-01-03T00:00:00.0000000Z	8079	6521.06629892	BCH
7	8	2352.92	2555.01	2310.0	2550.0	2018-01-05T00:00:00.0000000Z	2018-01-04T00:00:00.0000000Z	11564	11483.726514184	BCH
8	9	2385.0	2513.97	2295.04	2352.16	2018-01-06T00:00:00.0000000Z	2018-01-05T00:00:00.0000000Z	7616	6036.736152478	BCH
9	10	2533.63	2630.0	2320.0	2385.0	2018-01-07T00:00:00.0000000Z	2018-01-06T00:00:00.0000000Z	7558	5686.959397871	BCH
10	11	2516.03	2775.0	2495.0	2519.09	2018-01-08T00:00:00.0000000Z	2018-01-07T00:00:00.0000000Z	8784	7429.084655338	BCH
11	12	2402.94	2569.0	2200.0	2516.03	2018-01-09T00:00:00.0000000Z	2018-01-08T00:00:00.0000000Z	7983	5099.101138036	BCH
12	13	2360.07	2498.0	2310.0	2403.01	2018-01-10T00:00:00.0000000Z	2018-01-09T00:00:00.0000000Z	5648	3187.850923337	BCH
13	14	2844.02	2988.0	2280.0	2374.94	2018-01-11T00:00:00.0000000Z	2018-01-10T00:00:00.0000000Z	18491	12549.538832242	BCH
14	15	2432.0	2955.0	2330.0	2867.42	2018-01-12T00:00:00.0000000Z	2018-01-11T00:00:00.0000000Z	15761	12534.855983355	BCH
15	16	2593.1	2649.99	2336.84	2432.0	2018-01-13T00:00:00.0000000Z	2018-01-12T00:00:00.0000000Z	7025	4474.179851979	BCH
16	17	2653.0	2849.0	2555.93	2597.62	2018-01-14T00:00:00.0000000Z	2018-01-13T00:00:00.0000000Z	6507	4829.126702204	BCH
17	18	2531.91	2721.0	2450.0	2659.25	2018-01-15T00:00:00.0000000Z	2018-01-14T00:00:00.0000000Z	5364	2828.085725888	BCH
18	19	2383.29	2554.27	2342.12	2531.91	2018-01-16T00:00:00.0000000Z	2018-01-15T00:00:00.0000000Z	5727	2946.212640795	BCH
19	20	1779.78	2405.67	1528.03	2391.77	2018-01-17T00:00:00.0000000Z	2018-01-16T00:00:00.0000000Z	22993	15224.649948341	BCH
20	21	1760.3	1925.47	1339.1	1779.78	2018-01-18T00:00:00.0000000Z	2018-01-17T00:00:00.0000000Z	20107	13550.21210557	BCH
21	22	1728.39	1910.94	1672.8	1765.31	2018-01-19T00:00:00.0000000Z	2018-01-18T00:00:00.0000000Z	12736	7767.299453153	BCH
22	23	1759.44	1879.96	1700.0	1725.0	2018-01-20T00:00:00.0000000Z	2018-01-19T00:00:00.0000000Z	6175	3542.579073605	BCH
23	24	2021.47	2111.32	1756.07	1760.85	2018-01-21T00:00:00.0000000Z	2018-01-20T00:00:00.0000000Z	5680	3506.318397016	BCH
24	25	1770.1	2024.93	1700.0	2024.88	2018-01-22T00:00:00.0000000Z	2018-01-21T00:00:00.0000000Z	7093	4324.202873742	BCH
25	26	1605.58	1821.31	1505.9	1774.92	2018-01-23T00:00:00.0000000Z	2018-01-22T00:00:00.0000000Z	8583	5583.915866732	BCH
26	27	1618.78	1698.15	1481.67	1605.58	2018-01-24T00:00:00.0000000Z	2018-01-23T00:00:00.0000000Z	5637	3411.712244949	BCH
27	28	1655.0	1680.0	1559.05	1618.86	2018-01-25T00:00:00.0000000Z	2018-01-24T00:00:00.0000000Z	4042	2188.123878147	BCH
28	29	1634.78	1707.98	1597.2	1652.09	2018-01-26T00:00:00.0000000Z	2018-01-25T00:00:00.0000000Z	4864	2224.474449896	BCH
29	30	1604.8	1671.58	1475.36	1630.82	2018-01-27T00:00:00.0000000Z	2018-01-26T00:00:00.0000000Z	6887	5624.520229879	BCH
30	31	1626.3	1698.26	1557.66	1593.06	2018-01-28T00:00:00.0000000Z	2018-01-27T00:00:00.0000000Z	3554	2089.485335118	BCH
31	32	1733.05	1760.0	1630.14	1630.23	2018-01-29T00:00:00.0000000Z	2018-01-28T00:00:00.0000000Z	4133	2654.41964271	BCH
32	33	1642.93	1765.89	1616.46	1748.5	2018-01-30T00:00:00.0000000Z	2018-01-29T00:00:00.0000000Z	3290	2007.820742817	BCH
33	34	1441.48	1648.61	1435.71	1648.15	2018-01-31T00:00:00.0000000Z	2018-01-30T00:00:00.0000000Z	7897	5660.836058035	BCH
34	35	1475.81	1524.2	1370.0	1442.09	2018-02-01T00:00:00.0000000Z	2018-01-31T00:00:00.0000000Z	5121	3177.179483796	BCH
35	36	1250.03	1489.98	1172.0	1479.1	2018-02-02T00:00:00.0000000Z	2018-02-01T00:00:00.0000000Z	10742	7816.368565434	BCH
36	37	1186.37	1255.7	950.0	1255.68	2018-02-03T00:00:00.0000000Z	2018-02-02T00:00:00.0000000Z	13381	12100.341832128	BCH
37	38	1270.03	1320.0	1060.47	1186.06	2018-02-04T00:00:00.0000000Z	2018-02-03T00:00:00.0000000Z	4613	2807.471949857	BCH
38	39	1154.0	1287.19	1088.67	1267.19	2018-02-05T00:00:00.0000000Z	2018-02-04T00:00:00.0000000Z	5493	3646.500363822	BCH
39	40	879.84	1174.8	822.87	1151.84	2018-02-06T00:00:00.0000000Z	2018-02-05T00:00:00.0000000Z	10989	11844.269989082	BCH
40	41	968.05	1000.0	760.0	879.81	2018-02-07T00:00:00.0000000Z	2018-02-06T00:00:00.0000000Z	13382	16031.577292064	BCH
41	42	952.9	1048.0	898.08	973.87	2018-02-08T00:00:00.0000000Z	2018-02-07T00:00:00.0000000Z	8037	8887.715686639	BCH
42	43	1276.22	1352.0	942.68	948.5	2018-02-09T00:00:00.0000000Z	2018-02-08T00:00:00.0000000Z	15388	17957.241862322	BCH
43	44	1300.0	1336.45	1187.47	1277.99	2018-02-10T00:00:00.0000000Z	2018-02-09T00:00:00.0000000Z	8273	8256.735325904	BCH
44	45	1240.0	1387.51	1200.0	1302.54	2018-02-11T00:00:00.0000000Z	2018-02-10T00:00:00.0000000Z	6798	5934.319677827	BCH
45	46	1208.9	1302.55	1182.3	1237.01	2018-02-12T00:00:00.0000000Z	2018-02-11T00:00:00.0000000Z	5147	5196.530832047	BCH
46	47	1284.0	1292.0	1204.36	1204.36	2018-02-13T00:00:00.0000000Z	2018-02-12T00:00:00.0000000Z	3072	2780.292056387	BCH
47	48	1218.65	1285.89	1195.0	1283.0	2018-02-14T00:00:00.0000000Z	2018-02-13T00:00:00.0000000Z	2927	2761.11097588	BCH
48	49	1357.18	1385.0	1217.89	1220.64	2018-02-15T00:00:00.0000000Z	2018-02-14T00:00:00.0000000Z	5245	4917.575288537	BCH
49	50	1357.45	1396.28	1310.0	1357.18	2018-02-16T00:00:00.0000000Z	2018-02-15T00:00:00.0000000Z	5241	4508.831145586	BCH
50	51	1537.09	1550.0	1351.65	1357.04	2018-02-17T00:00:00.0000000Z	2018-02-16T00:00:00.0000000Z	7497	7140.305191139	BCH
51	52	1546.02	1555.77	1495.0	1533.0	2018-02-18T00:00:00.0000000Z	2018-02-17T00:00:00.0000000Z	3603	3177.578218729	BCH
52	53	1442.34	1640.0	1400.0	1546.02	2018-02-19T00:00:00.0000000Z	2018-02-18T00:00:00.0000000Z	7398	5864.531150816	BCH
53	54	1521.44	1545.2	1405.0	1451.12	2018-02-20T00:00:00.0000000Z	2018-02-19T00:00:00.0000000Z	2405	2319.41931655	BCH
54	55	1393.87	1554.4	1375.7	1521.94	2018-02-21T00:00:00.0000000Z	2018-02-20T00:00:00.0000000Z	3059	2965.289939637	BCH
55	56	1282.28	1409.91	1261.68	1388.01	2018-02-22T00:00:00.0000000Z	2018-02-21T00:00:00.0000000Z	4593	4418.884535747	BCH
56	57	1209.0	1339.99	1175.0	1279.61	2018-02-23T00:00:00.0000000Z	2018-02-22T00:00:00.0000000Z	4761	4411.936449857	BCH
57	58	1253.29	1311.05	1144.62	1209.0	2018-02-24T00:00:00.0000000Z	2018-02-23T00:00:00.0000000Z	4108	2949.359562968	BCH
58	59	1179.1	1296.0	1126.1	1252.16	2018-02-25T00:00:00.0000000Z	2018-02-24T00:00:00.0000000Z	3163	2245.153528907	BCH
59	60	1170.02	1202.54	1136.44	1179.1	2018-02-26T00:00:00.0000000Z	2018-02-25T00:00:00.0000000Z	2152	1449.28346367	BCH
60	61	1245.98	1272.17	1140.0	1170.56	2018-02-27T00:00:00.0000000Z	2018-02-26T00:00:00.0000000Z	3626	2666.95329387	BCH
61	62	1233.62	1298.69	1218.13	1245.73	2018-02-28T00:00:00.0000000Z	2018-02-27T00:00:00.0000000Z	1798	1494.647208817	BCH
62	63	1196.29	1276.07	1195.33	1233.42	2018-03-01T00:00:00.0000000Z	2018-02-28T00:00:00.0000000Z	1932	1359.994930387	BCH
63	64	1281.27	1305.93	1185.13	1199.03	2018-03-02T00:00:00.0000000Z	2018-03-01T00:00:00.0000000Z	2663	2623.04066109	BCH
64	65	1269.38	1304.88	1248.49	1281.07	2018-03-03T00:00:00.0000000Z	2018-03-02T00:00:00.0000000Z	1942	1928.413496339	BCH
65	66	1264.12	1299.0	1255.18	1275.74	2018-03-04T00:00:00.0000000Z	2018-03-03T00:00:00.0000000Z	1040	563.52580675	BCH
66	67	1284.72	1284.82	1210.0	1265.38	2018-03-05T00:00:00.0000000Z	2018-03-04T00:00:00.0000000Z	2061	1915.667827768	BCH
67	68	1261.01	1288.77	1261.01	1279.07	2018-03-06T00:00:00.0000000Z	2018-03-05T00:00:00.0000000Z	1382	999.104347209	BCH
68	69	1201.83	1262.97	1172.75	1261.01	2018-03-07T00:00:00.0000000Z	2018-03-06T00:00:00.0000000Z	2913	1926.602015879	BCH
69	70	1091.39	1215.98	1031.75	1202.0	2018-03-08T00:00:00.0000000Z	2018-03-07T00:00:00.0000000Z	6747	4884.672428429	BCH
70	71	1030.61	1113.09	990.15	1091.39	2018-03-09T00:00:00.0000000Z	2018-03-08T00:00:00.0000000Z	7701	8307.834825785	BCH
71	72	1062.65	1075.0	920.0	1030.6	2018-03-10T00:00:00.0000000Z	2018-03-09T00:00:00.0000000Z	7888	6686.639708338	BCH
72	73	1000.78	1089.98	986.0	1066.14	2018-03-11T00:00:00.0000000Z	2018-03-10T00:00:00.0000000Z	2954	2037.188100947	BCH
73	74	1137.0	1158.33	960.04	1002.06	2018-03-12T00:00:00.0000000Z	2018-03-11T00:00:00.0000000Z	5417	2835.385696576	BCH
74	75	1045.61	1149.5	1008.15	1136.94	2018-03-13T00:00:00.0000000Z	2018-03-12T00:00:00.0000000Z	4611	4463.29727205	BCH
75	76	1053.57	1099.45	990.15	1046.99	2018-03-14T00:00:00.0000000Z	2018-03-13T00:00:00.0000000Z	7683	11769.278362965	BCH
76	77	947.0	1068.35	906.42	1055.95	2018-03-15T00:00:00.0000000Z	2018-03-14T00:00:00.0000000Z	5000	4775.050543252	BCH
77	78	939.27	954.99	871.29	947.99	2018-03-16T00:00:00.0000000Z	2018-03-15T00:00:00.0000000Z	5033	2655.168689298	BCH
78	79	970.18	1059.3	895.18	940.75	2018-03-17T00:00:00.0000000Z	2018-03-16T00:00:00.0000000Z	3938	3547.638424868	BCH
79	80	947.15	1031.59	925.61	970.0	2018-03-18T00:00:00.0000000Z	2018-03-17T00:00:00.0000000Z	2723	2164.087861158	BCH
80	81	932.39	950.06	844.22	945.53	2018-03-19T00:00:00.0000000Z	2018-03-18T00:00:00.0000000Z	3292	2442.939451805	BCH
81	82	991.65	999.4	909.19	932.39	2018-03-20T00:00:00.0000000Z	2018-03-19T00:00:00.0000000Z	3196	3246.870067628	BCH
82	83	1060.96	1076.82	952.2	989.01	2018-03-21T00:00:00.0000000Z	2018-03-20T00:00:00.0000000Z	4521	4656.811693309	BCH
83	84	1029.59	1081.0	1005.99	1061.97	2018-03-22T00:00:00.0000000Z	2018-03-21T00:00:00.0000000Z	3848	2240.914466788	BCH
84	85	1012.71	1063.49	985.02	1029.99	2018-03-23T00:00:00.0000000Z	2018-03-22T00:00:00.0000000Z	4648	2453.163933036	BCH
85	86	1032.22	1032.22	960.0	1008.88	2018-03-24T00:00:00.0000000Z	2018-03-23T00:00:00.0000000Z	3347	3084.594329969	BCH
86	87	968.5	1034.76	965.81	1024.45	2018-03-25T00:00:00.0000000Z	2018-03-24T00:00:00.0000000Z	1990	869.59411885	BCH
87	88	969.92	989.49	963.73	969.32	2018-03-26T00:00:00.0000000Z	2018-03-25T00:00:00.0000000Z	2734	779.472146588	BCH
88	89	910.22	974.99	880.17	971.96	2018-03-27T00:00:00.0000000Z	2018-03-26T00:00:00.0000000Z	3102	2798.183934099	BCH
89	90	873.63	924.99	871.69	915.39	2018-03-28T00:00:00.0000000Z	2018-03-27T00:00:00.0000000Z	2907	1374.452708439	BCH
90	91	858.99	895.98	847.17	874.64	2018-03-29T00:00:00.0000000Z	2018-03-28T00:00:00.0000000Z	3154	5449.708413957	BCH
91	92	708.29	866.78	692.74	860.01	2018-03-30T00:00:00.0000000Z	2018-03-29T00:00:00.0000000Z	7578	16253.136207964	BCH
92	93	696.76	770.49	671.79	707.13	2018-03-31T00:00:00.0000000Z	2018-03-30T00:00:00.0000000Z	5094	5282.629087216	BCH
93	94	681.99	736.32	679.88	694.25	2018-04-01T00:00:00.0000000Z	2018-03-31T00:00:00.0000000Z	4059	2676.932694045	BCH
94	95	640.4	698.31	625.0	681.99	2018-04-02T00:00:00.0000000Z	2018-04-01T00:00:00.0000000Z	6113	10369.54164979	BCH
95	96	660.16	685.02	638.76	640.4	2018-04-03T00:00:00.0000000Z	2018-04-02T00:00:00.0000000Z	2131	2487.962401749	BCH
96	97	710.15	722.52	656.84	661.24	2018-04-04T00:00:00.0000000Z	2018-04-03T00:00:00.0000000Z	2416	3217.721436018	BCH
97	98	651.06	709.07	631.89	707.95	2018-04-05T00:00:00.0000000Z	2018-04-04T00:00:00.0000000Z	2143	4487.478976429	BCH
98	99	641.6	655.62	618.97	647.77	2018-04-06T00:00:00.0000000Z	2018-04-05T00:00:00.0000000Z	1726	2228.17290044	BCH
99	100	609.11	646.96	599.49	644.1	2018-04-07T00:00:00.0000000Z	2018-04-06T00:00:00.0000000Z	1982	5582.770562226	BCH
100	101	638.71	655.89	608.99	609.0	2018-04-08T00:00:00.0000000Z	2018-04-07T00:00:00.0000000Z	1129	1314.92841039	BCH
101	102	653.91	662.92	639.93	639.93	2018-04-09T00:00:00.0000000Z	2018-04-08T00:00:00.0000000Z	654	896.482011999	BCH
102	103	635.84	680.0	620.61	653.83	2018-04-10T00:00:00.0000000Z	2018-04-09T00:00:00.0000000Z	1356	1616.502229199	BCH
103	104	647.57	659.99	625.29	637.25	2018-04-11T00:00:00.0000000Z	2018-04-10T00:00:00.0000000Z	934	997.072713338	BCH
104	105	668.07	668.07	646.99	650.01	2018-04-12T00:00:00.0000000Z	2018-04-11T00:00:00.0000000Z	2566	5160.422556227	BCH
105	106	738.92	740.62	656.41	668.07	2018-04-13T00:00:00.0000000Z	2018-04-12T00:00:00.0000000Z	4884	7260.622401018	BCH
106	107	740.56	786.42	721.02	739.17	2018-04-14T00:00:00.0000000Z	2018-04-13T00:00:00.0000000Z	2853	4204.078065199	BCH
107	108	736.24	763.72	716.61	740.98	2018-04-15T00:00:00.0000000Z	2018-04-14T00:00:00.0000000Z	1124	972.442774787	BCH
108	109	780.74	788.0	737.99	737.99	2018-04-16T00:00:00.0000000Z	2018-04-15T00:00:00.0000000Z	1632	2379.519931918	BCH
109	110	769.01	799.98	742.16	781.31	2018-04-17T00:00:00.0000000Z	2018-04-16T00:00:00.0000000Z	1577	1710.82707788	BCH
110	111	758.56	788.26	751.33	766.35	2018-04-18T00:00:00.0000000Z	2018-04-17T00:00:00.0000000Z	1760	2301.33998471	BCH
111	112	894.61	901.0	756.93	756.93	2018-04-19T00:00:00.0000000Z	2018-04-18T00:00:00.0000000Z	4217	4119.518916217	BCH
112	113	967.0	983.0	878.21	895.67	2018-04-20T00:00:00.0000000Z	2018-04-19T00:00:00.0000000Z	4908	3384.271179824	BCH
113	114	1123.69	1150.51	939.16	966.99	2018-04-21T00:00:00.0000000Z	2018-04-20T00:00:00.0000000Z	8619	9058.070751036	BCH
114	115	1156.9	1192.0	1013.58	1123.69	2018-04-22T00:00:00.0000000Z	2018-04-21T00:00:00.0000000Z	8597	5517.739884169	BCH
115	116	1194.72	1258.97	1107.51	1157.0	2018-04-23T00:00:00.0000000Z	2018-04-22T00:00:00.0000000Z	5476	5192.872291625	BCH
116	117	1437.0	1454.68	1190.0	1190.02	2018-04-24T00:00:00.0000000Z	2018-04-23T00:00:00.0000000Z	10346	11092.76026639	BCH
117	118	1405.0	1574.37	1389.58	1438.9	2018-04-25T00:00:00.0000000Z	2018-04-24T00:00:00.0000000Z	11529	11300.240357046	BCH
118	119	1290.98	1439.0	1225.55	1405.0	2018-04-26T00:00:00.0000000Z	2018-04-25T00:00:00.0000000Z	13793	16999.531158052	BCH
119	120	1426.58	1426.93	1242.54	1290.31	2018-04-27T00:00:00.0000000Z	2018-04-26T00:00:00.0000000Z	6329	5693.8757959	BCH
120	121	1329.4	1425.21	1328.96	1425.21	2018-04-28T00:00:00.0000000Z	2018-04-27T00:00:00.0000000Z	5221	3949.193948418	BCH
121	122	1391.12	1417.14	1322.2	1329.2	2018-04-29T00:00:00.0000000Z	2018-04-28T00:00:00.0000000Z	3875	2845.314839376	BCH
122	123	1438.49	1487.65	1372.56	1393.35	2018-04-30T00:00:00.0000000Z	2018-04-29T00:00:00.0000000Z	4587	2902.089430835	BCH
123	124	1346.94	1441.99	1329.14	1441.99	2018-05-01T00:00:00.0000000Z	2018-04-30T00:00:00.0000000Z	3996	2691.440811999	BCH
124	125	1355.99	1357.99	1242.02	1346.93	2018-05-02T00:00:00.0000000Z	2018-05-01T00:00:00.0000000Z	5757	2319.096051716	BCH
125	126	1451.84	1490.37	1321.59	1355.19	2018-05-03T00:00:00.0000000Z	2018-05-02T00:00:00.0000000Z	6979	4494.994038569	BCH
126	127	1508.23	1537.22	1450.2	1454.99	2018-05-04T00:00:00.0000000Z	2018-05-03T00:00:00.0000000Z	5353	4061.122948955	BCH
127	128	1512.99	1538.02	1461.12	1502.55	2018-05-05T00:00:00.0000000Z	2018-05-04T00:00:00.0000000Z	3048	2412.93588185	BCH
128	129	1755.0	1755.0	1502.24	1509.01	2018-05-06T00:00:00.0000000Z	2018-05-05T00:00:00.0000000Z	9206	5668.827467783	BCH
129	130	1751.55	1838.99	1600.0	1754.99	2018-05-07T00:00:00.0000000Z	2018-05-06T00:00:00.0000000Z	8201	5472.386135571	BCH
130	131	1645.93	1775.0	1565.3	1751.51	2018-05-08T00:00:00.0000000Z	2018-05-07T00:00:00.0000000Z	7243	4486.186257968	BCH
131	132	1597.55	1696.72	1547.39	1649.52	2018-05-09T00:00:00.0000000Z	2018-05-08T00:00:00.0000000Z	5137	3735.330472517	BCH
132	133	1624.41	1675.57	1457.83	1597.55	2018-05-10T00:00:00.0000000Z	2018-05-09T00:00:00.0000000Z	6417	4923.736238404	BCH
133	134	1518.98	1665.15	1510.0	1626.92	2018-05-11T00:00:00.0000000Z	2018-05-10T00:00:00.0000000Z	5621	4155.768259469	BCH
134	135	1364.99	1560.84	1318.87	1515.32	2018-05-12T00:00:00.0000000Z	2018-05-11T00:00:00.0000000Z	12341	9572.070181566	BCH
135	136	1454.08	1514.75	1263.63	1362.32	2018-05-13T00:00:00.0000000Z	2018-05-12T00:00:00.0000000Z	10861	5318.564212276	BCH
136	137	1474.14	1500.0	1405.36	1458.8	2018-05-14T00:00:00.0000000Z	2018-05-13T00:00:00.0000000Z	4389	2069.939961254	BCH
137	138	1415.0	1491.5	1328.88	1481.6	2018-05-15T00:00:00.0000000Z	2018-05-14T00:00:00.0000000Z	5225	4635.417311176	BCH
138	139	1339.03	1453.07	1313.13	1417.99	2018-05-16T00:00:00.0000000Z	2018-05-15T00:00:00.0000000Z	5115	3244.056635076	BCH
139	140	1278.36	1359.49	1215.0	1338.98	2018-05-17T00:00:00.0000000Z	2018-05-16T00:00:00.0000000Z	5192	3226.522026048	BCH
140	141	1191.78	1340.85	1170.0	1277.07	2018-05-18T00:00:00.0000000Z	2018-05-17T00:00:00.0000000Z	4080	2298.282944956	BCH
