	cc_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
0	1	1.7275	1.9659	1.685	1.7943	2016-07-29T00:00:00.0000000Z	2016-07-28T00:00:00.0000000Z	4288	194328.31839968	ETC
1	2	1.643	1.799	1.55	1.7289	2016-07-30T00:00:00.0000000Z	2016-07-29T00:00:00.0000000Z	8121	494860.56307925	ETC
2	3	1.5794	1.71	1.538	1.647	2016-07-31T00:00:00.0000000Z	2016-07-30T00:00:00.0000000Z	4340	229644.6278901	ETC
3	4	1.7979	1.934	1.5575	1.5767	2016-08-01T00:00:00.0000000Z	2016-07-31T00:00:00.0000000Z	6237	590927.012835379	ETC
4	5	2.425	2.425	1.78	1.7988	2016-08-02T00:00:00.0000000Z	2016-08-01T00:00:00.0000000Z	6994	1109413.016845229	ETC
5	6	2.8481	2.9535	2.3	2.3775	2016-08-03T00:00:00.0000000Z	2016-08-02T00:00:00.0000000Z	15313	1828720.08391295	ETC
6	7	1.65	1.96	1.505	1.75	2016-08-11T00:00:00.0000000Z	2016-08-10T00:00:00.0000000Z	1066	176763.02226968	ETC
7	8	1.848	1.96	1.556	1.65	2016-08-12T00:00:00.0000000Z	2016-08-11T00:00:00.0000000Z	1751	233142.42531251	ETC
8	9	1.84	2.35	1.7693	1.85	2016-08-13T00:00:00.0000000Z	2016-08-12T00:00:00.0000000Z	2107	207057.3417855	ETC
9	10	1.8751	1.9	1.809	1.847	2016-08-14T00:00:00.0000000Z	2016-08-13T00:00:00.0000000Z	852	90330.65063072	ETC
10	11	1.9241	1.9837	1.8548	1.857	2016-08-15T00:00:00.0000000Z	2016-08-14T00:00:00.0000000Z	1393	186696.10485357	ETC
11	12	1.853	2.03	1.8256	1.9241	2016-08-16T00:00:00.0000000Z	2016-08-15T00:00:00.0000000Z	1302	173628.08043635	ETC
12	13	1.8501	1.895	1.7757	1.853	2016-08-17T00:00:00.0000000Z	2016-08-16T00:00:00.0000000Z	608	48267.61917979	ETC
13	14	1.7462	1.8717	1.6991	1.8501	2016-08-18T00:00:00.0000000Z	2016-08-17T00:00:00.0000000Z	851	122922.19100528	ETC
14	15	1.68	1.775	1.65	1.7429	2016-08-19T00:00:00.0000000Z	2016-08-18T00:00:00.0000000Z	667	88088.76496136	ETC
15	16	1.7754	1.8126	1.6046	1.68	2016-08-20T00:00:00.0000000Z	2016-08-19T00:00:00.0000000Z	1223	155351.54866639	ETC
16	17	1.75	1.7878	1.6721	1.766	2016-08-21T00:00:00.0000000Z	2016-08-20T00:00:00.0000000Z	365	66069.22612929	ETC
17	18	1.7131	1.7836	1.6924	1.75	2016-08-22T00:00:00.0000000Z	2016-08-21T00:00:00.0000000Z	393	40869.0888306	ETC
18	19	1.6602	1.75	1.62	1.723	2016-08-23T00:00:00.0000000Z	2016-08-22T00:00:00.0000000Z	964	212135.0765238	ETC
19	20	1.61	1.6842	1.556	1.679	2016-08-24T00:00:00.0000000Z	2016-08-23T00:00:00.0000000Z	1300	292339.59613002	ETC
20	21	1.4413	1.6477	1.4371	1.61	2016-08-25T00:00:00.0000000Z	2016-08-24T00:00:00.0000000Z	1517	314572.35837228	ETC
21	22	1.3728	1.4663	1.2601	1.4432	2016-08-26T00:00:00.0000000Z	2016-08-25T00:00:00.0000000Z	2606	825824.214861319	ETC
22	23	1.4331	1.4777	1.3059	1.3671	2016-08-27T00:00:00.0000000Z	2016-08-26T00:00:00.0000000Z	2241	539626.8264403	ETC
23	24	1.3495	1.455	1.326	1.4341	2016-08-28T00:00:00.0000000Z	2016-08-27T00:00:00.0000000Z	1281	252049.250331529	ETC
24	25	1.313	1.3699	1.285	1.3365	2016-08-29T00:00:00.0000000Z	2016-08-28T00:00:00.0000000Z	1225	365277.55312818	ETC
25	26	1.2636	1.3422	1.2375	1.3262	2016-08-30T00:00:00.0000000Z	2016-08-29T00:00:00.0000000Z	1872	518749.46474709	ETC
26	27	1.2495	1.3564	1.1614	1.2602	2016-08-31T00:00:00.0000000Z	2016-08-30T00:00:00.0000000Z	1425	1041753.326679796	ETC
27	28	1.1802	1.295	1.16	1.2456	2016-09-01T00:00:00.0000000Z	2016-08-31T00:00:00.0000000Z	1158	362896.972824258	ETC
28	29	1.44	1.4999	1.1717	1.192	2016-09-02T00:00:00.0000000Z	2016-09-01T00:00:00.0000000Z	2225	999311.235356659	ETC
29	30	1.4021	1.4765	1.3645	1.451	2016-09-03T00:00:00.0000000Z	2016-09-02T00:00:00.0000000Z	1385	305628.94070495	ETC
30	31	1.3656	1.413	1.33	1.4094	2016-09-04T00:00:00.0000000Z	2016-09-03T00:00:00.0000000Z	527	80179.29403384	ETC
31	32	1.4776	1.4776	1.34	1.3798	2016-09-05T00:00:00.0000000Z	2016-09-04T00:00:00.0000000Z	873	214926.888748339	ETC
32	33	1.464	1.5477	1.4421	1.4431	2016-09-06T00:00:00.0000000Z	2016-09-05T00:00:00.0000000Z	835	144952.96142681	ETC
33	34	1.4711	1.5279	1.4423	1.464	2016-09-07T00:00:00.0000000Z	2016-09-06T00:00:00.0000000Z	612	149221.77053465	ETC
34	35	1.4876	1.4983	1.44	1.4718	2016-09-08T00:00:00.0000000Z	2016-09-07T00:00:00.0000000Z	697	236873.27102275	ETC
35	36	1.448	1.5333	1.448	1.487	2016-09-09T00:00:00.0000000Z	2016-09-08T00:00:00.0000000Z	560	132041.94228044	ETC
36	37	1.4011	1.4492	1.3811	1.448	2016-09-10T00:00:00.0000000Z	2016-09-09T00:00:00.0000000Z	878	183671.41291252	ETC
37	38	1.425	1.45	1.4	1.4005	2016-09-11T00:00:00.0000000Z	2016-09-10T00:00:00.0000000Z	1091	132392.65297652	ETC
38	39	1.3438	1.4374	1.331	1.4224	2016-09-12T00:00:00.0000000Z	2016-09-11T00:00:00.0000000Z	4515	632923.683912379	ETC
39	40	1.3301	1.3605	1.31	1.3351	2016-09-13T00:00:00.0000000Z	2016-09-12T00:00:00.0000000Z	516	169640.46490829	ETC
