	cc_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
0	1	298.4	298.6	292.3	293.13	2017-08-21T00:00:00.0000000Z	2017-08-20T00:00:00.0000000Z	202	289.70277589	ETH
1	2	319.31	353.0	292.71	297.26	2017-08-22T00:00:00.0000000Z	2017-08-21T00:00:00.0000000Z	9772	24750.689250275	ETH
2	3	312.22	328.8	291.86	319.37	2017-08-23T00:00:00.0000000Z	2017-08-22T00:00:00.0000000Z	8495	17151.965292235	ETH
3	4	315.61	324.68	311.34	313.43	2017-08-24T00:00:00.0000000Z	2017-08-23T00:00:00.0000000Z	6718	11550.126566454	ETH
4	5	323.84	327.49	312.4	315.61	2017-08-25T00:00:00.0000000Z	2017-08-24T00:00:00.0000000Z	6403	8279.527551403	ETH
5	6	329.0	337.22	322.21	323.85	2017-08-26T00:00:00.0000000Z	2017-08-25T00:00:00.0000000Z	5052	9866.782091188	ETH
6	7	332.38	335.12	324.56	329.55	2017-08-27T00:00:00.0000000Z	2017-08-26T00:00:00.0000000Z	5063	8164.811421418	ETH
7	8	347.55	347.55	332.38	332.42	2017-08-28T00:00:00.0000000Z	2017-08-27T00:00:00.0000000Z	5049	8098.540189256	ETH
8	9	346.68	350.29	333.01	347.71	2017-08-29T00:00:00.0000000Z	2017-08-28T00:00:00.0000000Z	7010	14196.596516338	ETH
9	10	372.37	376.55	345.0	346.83	2017-08-30T00:00:00.0000000Z	2017-08-29T00:00:00.0000000Z	9804	21849.880143296	ETH
10	11	383.03	390.68	365.0	372.12	2017-08-31T00:00:00.0000000Z	2017-08-30T00:00:00.0000000Z	10233	33918.446568493	ETH
11	12	387.95	393.0	380.05	383.38	2017-09-01T00:00:00.0000000Z	2017-08-31T00:00:00.0000000Z	8327	15445.383297339	ETH
12	13	390.0	396.0	384.2	387.98	2017-09-02T00:00:00.0000000Z	2017-09-01T00:00:00.0000000Z	12228	21656.430321795	ETH
13	14	351.5	392.45	327.0	390.33	2017-09-03T00:00:00.0000000Z	2017-09-02T00:00:00.0000000Z	12442	29696.734243776	ETH
14	15	350.62	370.2	331.0	351.47	2017-09-04T00:00:00.0000000Z	2017-09-03T00:00:00.0000000Z	7257	24080.454159114	ETH
15	16	300.0	352.16	275.15	350.62	2017-09-05T00:00:00.0000000Z	2017-09-04T00:00:00.0000000Z	13547	46192.45809244	ETH
16	17	316.54	323.76	270.0	302.71	2017-09-06T00:00:00.0000000Z	2017-09-05T00:00:00.0000000Z	11165	31763.823072414	ETH
17	18	337.36	341.6	315.01	316.62	2017-09-07T00:00:00.0000000Z	2017-09-06T00:00:00.0000000Z	12409	27081.576222287	ETH
18	19	335.35	339.89	323.0	337.36	2017-09-08T00:00:00.0000000Z	2017-09-07T00:00:00.0000000Z	7257	22030.973896784	ETH
19	20	305.86	335.63	290.01	335.63	2017-09-09T00:00:00.0000000Z	2017-09-08T00:00:00.0000000Z	13931	38661.090949178	ETH
20	21	303.81	307.96	290.0	305.8	2017-09-10T00:00:00.0000000Z	2017-09-09T00:00:00.0000000Z	6887	12409.003431262	ETH
21	22	298.0	305.98	273.0	303.86	2017-09-11T00:00:00.0000000Z	2017-09-10T00:00:00.0000000Z	10274	38810.914949598	ETH
22	23	297.32	305.99	285.75	298.17	2017-09-12T00:00:00.0000000Z	2017-09-11T00:00:00.0000000Z	10219	19404.551005093	ETH
23	24	293.85	316.5	285.0	297.31	2017-09-13T00:00:00.0000000Z	2017-09-12T00:00:00.0000000Z	12588	31113.192042153	ETH
24	25	275.25	294.31	255.06	293.96	2017-09-14T00:00:00.0000000Z	2017-09-13T00:00:00.0000000Z	15463	49227.22144465	ETH
25	26	223.4	280.68	221.6	275.79	2017-09-15T00:00:00.0000000Z	2017-09-14T00:00:00.0000000Z	18298	71254.525151811	ETH
26	27	257.36	266.0	201.0	223.1	2017-09-16T00:00:00.0000000Z	2017-09-15T00:00:00.0000000Z	27330	96220.553805254	ETH
27	28	253.08	271.34	240.47	257.38	2017-09-17T00:00:00.0000000Z	2017-09-16T00:00:00.0000000Z	12658	31459.444575681	ETH
28	29	257.1	263.88	236.03	253.08	2017-09-18T00:00:00.0000000Z	2017-09-17T00:00:00.0000000Z	9445	19524.262764814	ETH
29	30	298.0	299.91	256.76	257.08	2017-09-19T00:00:00.0000000Z	2017-09-18T00:00:00.0000000Z	19049	48043.634749869	ETH
30	31	282.62	299.69	275.58	298.0	2017-09-20T00:00:00.0000000Z	2017-09-19T00:00:00.0000000Z	10408	23891.508117863	ETH
31	32	283.51	293.02	276.43	283.11	2017-09-21T00:00:00.0000000Z	2017-09-20T00:00:00.0000000Z	7419	17131.239560284	ETH
32	33	258.25	288.04	250.01	283.6	2017-09-22T00:00:00.0000000Z	2017-09-21T00:00:00.0000000Z	11391	29303.798327694	ETH
33	34	262.89	274.0	250.0	258.17	2017-09-23T00:00:00.0000000Z	2017-09-22T00:00:00.0000000Z	7679	18940.510023678	ETH
34	35	285.58	286.28	258.95	263.0	2017-09-24T00:00:00.0000000Z	2017-09-23T00:00:00.0000000Z	7171	15792.521566318	ETH
35	36	283.58	294.22	275.59	285.31	2017-09-25T00:00:00.0000000Z	2017-09-24T00:00:00.0000000Z	6427	14555.161799296	ETH
36	37	294.94	297.53	282.2	283.48	2017-09-26T00:00:00.0000000Z	2017-09-25T00:00:00.0000000Z	9174	23119.104059312	ETH
37	38	288.94	295.3	285.22	294.45	2017-09-27T00:00:00.0000000Z	2017-09-26T00:00:00.0000000Z	6364	14621.772477005	ETH
38	39	310.35	313.0	287.22	288.43	2017-09-28T00:00:00.0000000Z	2017-09-27T00:00:00.0000000Z	11034	35305.862618274	ETH
39	40	302.42	310.96	294.52	310.38	2017-09-29T00:00:00.0000000Z	2017-09-28T00:00:00.0000000Z	6031	17827.096056196	ETH
40	41	291.57	303.59	278.42	302.42	2017-09-30T00:00:00.0000000Z	2017-09-29T00:00:00.0000000Z	8125	26694.463965884	ETH
41	42	301.35	304.76	283.0	291.65	2017-10-01T00:00:00.0000000Z	2017-09-30T00:00:00.0000000Z	4295	12088.509542527	ETH
42	43	302.92	303.06	286.16	300.99	2017-10-02T00:00:00.0000000Z	2017-10-01T00:00:00.0000000Z	3185	8878.183621417	ETH
43	44	296.97	303.06	290.6	301.24	2017-10-03T00:00:00.0000000Z	2017-10-02T00:00:00.0000000Z	3406	12389.09696617	ETH
44	45	292.21	299.4	286.12	296.12	2017-10-04T00:00:00.0000000Z	2017-10-03T00:00:00.0000000Z	3132	9750.710299486	ETH
45	46	291.79	295.56	288.25	291.82	2017-10-05T00:00:00.0000000Z	2017-10-04T00:00:00.0000000Z	2467	5064.349573798	ETH
