	cc_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
0	1	42.04	42.99	40.55	41.7	2017-06-29T00:00:00.0000000Z	2017-06-28T00:00:00.0000000Z	811	18559.116545219	LTC
1	2	40.5	41.97	39.64	41.8	2017-06-30T00:00:00.0000000Z	2017-06-29T00:00:00.0000000Z	672	14557.53122183	LTC
2	3	39.88	41.31	39.3	40.78	2017-07-01T00:00:00.0000000Z	2017-06-30T00:00:00.0000000Z	975	20103.19012263	LTC
3	4	38.1	40.0	37.18	39.73	2017-07-02T00:00:00.0000000Z	2017-07-01T00:00:00.0000000Z	1321	24759.0614277	LTC
4	5	41.42	41.89	37.06	37.6	2017-07-03T00:00:00.0000000Z	2017-07-02T00:00:00.0000000Z	651	11329.2972857	LTC
5	6	45.47	47.64	40.38	41.41	2017-07-04T00:00:00.0000000Z	2017-07-03T00:00:00.0000000Z	1827	37597.37196784	LTC
6	7	55.01	55.01	45.15	45.34	2017-07-05T00:00:00.0000000Z	2017-07-04T00:00:00.0000000Z	2603	61187.8435012	LTC
7	8	52.66	56.73	48.95	54.69	2017-07-06T00:00:00.0000000Z	2017-07-05T00:00:00.0000000Z	1892	33988.911258	LTC
8	9	50.92	53.6	49.44	52.66	2017-07-07T00:00:00.0000000Z	2017-07-06T00:00:00.0000000Z	768	9157.08377576	LTC
9	10	46.17	51.29	44.51	50.91	2017-07-08T00:00:00.0000000Z	2017-07-07T00:00:00.0000000Z	2084	44680.00328341	LTC
10	11	50.7	52.0	44.35	46.18	2017-07-09T00:00:00.0000000Z	2017-07-08T00:00:00.0000000Z	1217	16219.2806228	LTC
11	12	48.31	52.35	48.31	51.25	2017-07-10T00:00:00.0000000Z	2017-07-09T00:00:00.0000000Z	700	10605.62346891	LTC
12	13	44.8	49.91	42.31	48.74	2017-07-11T00:00:00.0000000Z	2017-07-10T00:00:00.0000000Z	1564	32767.80998586	LTC
13	14	44.19	46.76	41.5	44.8	2017-07-12T00:00:00.0000000Z	2017-07-11T00:00:00.0000000Z	3213	80523.45536789	LTC
14	15	47.25	48.99	42.0	43.54	2017-07-13T00:00:00.0000000Z	2017-07-12T00:00:00.0000000Z	1495	35128.26706052	LTC
15	16	45.68	47.87	44.16	47.22	2017-07-14T00:00:00.0000000Z	2017-07-13T00:00:00.0000000Z	1204	20507.67117225	LTC
16	17	42.52	46.0	40.0	45.6	2017-07-15T00:00:00.0000000Z	2017-07-14T00:00:00.0000000Z	1648	43263.2689878	LTC
17	18	38.14	42.9	37.6	42.52	2017-07-16T00:00:00.0000000Z	2017-07-15T00:00:00.0000000Z	1740	36473.09209288	LTC
18	19	40.35	41.65	35.95	38.42	2017-07-17T00:00:00.0000000Z	2017-07-16T00:00:00.0000000Z	2296	52769.71813232	LTC
19	20	42.6	43.29	39.9	40.98	2017-07-18T00:00:00.0000000Z	2017-07-17T00:00:00.0000000Z	2415	42574.81556516	LTC
20	21	43.5	46.0	41.1	42.21	2017-07-19T00:00:00.0000000Z	2017-07-18T00:00:00.0000000Z	1601	33017.23898418	LTC
21	22	40.44	44.1	39.34	43.5	2017-07-20T00:00:00.0000000Z	2017-07-19T00:00:00.0000000Z	2726	52763.16603182	LTC
22	23	45.06	45.77	39.95	40.6	2017-07-21T00:00:00.0000000Z	2017-07-20T00:00:00.0000000Z	2752	68992.772577	LTC
23	24	45.45	47.96	44.09	44.57	2017-07-22T00:00:00.0000000Z	2017-07-21T00:00:00.0000000Z	2146	32855.70172993	LTC
24	25	46.87	47.5	44.85	45.21	2017-07-23T00:00:00.0000000Z	2017-07-22T00:00:00.0000000Z	644	11597.3714753	LTC
25	26	45.29	47.04	43.37	46.95	2017-07-24T00:00:00.0000000Z	2017-07-23T00:00:00.0000000Z	946	15568.83424344	LTC
26	27	44.95	45.62	43.6	44.9	2017-07-25T00:00:00.0000000Z	2017-07-24T00:00:00.0000000Z	1110	12384.36861751	LTC
27	28	42.02	45.3	40.38	45.0	2017-07-26T00:00:00.0000000Z	2017-07-25T00:00:00.0000000Z	1826	33654.2860695	LTC
28	29	41.8	42.9	40.23	42.1	2017-07-27T00:00:00.0000000Z	2017-07-26T00:00:00.0000000Z	1698	23529.78834767	LTC
29	30	41.65	42.86	40.8	42.1	2017-07-28T00:00:00.0000000Z	2017-07-27T00:00:00.0000000Z	918	20574.8330182	LTC
30	31	40.25	42.2	40.02	41.86	2017-07-29T00:00:00.0000000Z	2017-07-28T00:00:00.0000000Z	1451	27950.35479429	LTC
31	32	40.54	41.24	38.25	40.25	2017-07-30T00:00:00.0000000Z	2017-07-29T00:00:00.0000000Z	1346	25820.0567417	LTC
32	33	39.86	41.22	39.3	40.71	2017-07-31T00:00:00.0000000Z	2017-07-30T00:00:00.0000000Z	647	8529.73830618	LTC
33	34	42.11	43.24	37.39	39.9	2017-08-01T00:00:00.0000000Z	2017-07-31T00:00:00.0000000Z	2119	48862.77778799	LTC
34	35	43.16	44.3	39.72	42.11	2017-08-02T00:00:00.0000000Z	2017-08-01T00:00:00.0000000Z	2852	45496.325560659	LTC
35	36	41.69	43.26	41.44	43.06	2017-08-03T00:00:00.0000000Z	2017-08-02T00:00:00.0000000Z	968	17092.19342118	LTC
36	37	42.5	43.0	41.8	41.85	2017-08-04T00:00:00.0000000Z	2017-08-03T00:00:00.0000000Z	521	8287.60328072	LTC
37	38	42.99	43.57	42.32	42.66	2017-08-05T00:00:00.0000000Z	2017-08-04T00:00:00.0000000Z	935	14250.11616472	LTC
38	39	46.24	47.09	43.02	43.25	2017-08-06T00:00:00.0000000Z	2017-08-05T00:00:00.0000000Z	2408	49028.53306291	LTC
39	40	45.25	46.92	44.73	46.22	2017-08-07T00:00:00.0000000Z	2017-08-06T00:00:00.0000000Z	982	18033.99006494	LTC
40	41	45.73	46.75	45.09	45.33	2017-08-08T00:00:00.0000000Z	2017-08-07T00:00:00.0000000Z	950	14193.52886889	LTC
41	42	48.65	49.7	45.31	45.83	2017-08-09T00:00:00.0000000Z	2017-08-08T00:00:00.0000000Z	1704	34920.35088452	LTC
42	43	47.68	50.25	46.69	48.67	2017-08-10T00:00:00.0000000Z	2017-08-09T00:00:00.0000000Z	2058	34882.463815789	LTC
43	44	46.75	48.68	46.75	47.78	2017-08-11T00:00:00.0000000Z	2017-08-10T00:00:00.0000000Z	685	8807.14159692	LTC
44	45	46.87	47.97	45.64	46.79	2017-08-12T00:00:00.0000000Z	2017-08-11T00:00:00.0000000Z	1297	21950.43522355	LTC
45	46	46.23	47.54	45.71	46.8	2017-08-13T00:00:00.0000000Z	2017-08-12T00:00:00.0000000Z	1461	29512.74239931	LTC
46	47	45.05	47.42	43.62	46.19	2017-08-14T00:00:00.0000000Z	2017-08-13T00:00:00.0000000Z	2893	49619.39056546	LTC
47	48	45.3	46.2	44.44	45.34	2017-08-15T00:00:00.0000000Z	2017-08-14T00:00:00.0000000Z	961	14008.09532052	LTC
48	49	42.86	45.67	41.15	45.61	2017-08-16T00:00:00.0000000Z	2017-08-15T00:00:00.0000000Z	3441	57306.64044512	LTC
49	50	43.95	44.9	41.89	43.12	2017-08-17T00:00:00.0000000Z	2017-08-16T00:00:00.0000000Z	2695	53586.496214108	LTC
50	51	43.77	44.86	43.0	43.75	2017-08-18T00:00:00.0000000Z	2017-08-17T00:00:00.0000000Z	1131	16348.95423383	LTC
51	52	46.85	48.0	43.13	43.78	2017-08-19T00:00:00.0000000Z	2017-08-18T00:00:00.0000000Z	3553	56581.37294538	LTC
52	53	44.98	46.49	42.99	46.49	2017-08-20T00:00:00.0000000Z	2017-08-19T00:00:00.0000000Z	1046	15138.117386559	LTC
