	cc_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
0	1	0.00649	0.0065	0.00645	0.00645	2017-01-26T00:00:00.0000000Z	2017-01-25T00:00:00.0000000Z	52	535232.11676851	XRP
1	2	0.00638	0.0065	0.00638	0.0065	2017-01-27T00:00:00.0000000Z	2017-01-26T00:00:00.0000000Z	30	366651.31917298	XRP
2	3	0.00642	0.00642	0.00642	0.00642	2017-02-02T00:00:00.0000000Z	2017-02-01T00:00:00.0000000Z	3	12834.83629132	XRP
3	4	0.00641	0.00643	0.00626	0.00643	2017-02-08T00:00:00.0000000Z	2017-02-07T00:00:00.0000000Z	59	375493.55722066	XRP
4	5	0.00635	0.00648	0.00608	0.00635	2017-02-09T00:00:00.0000000Z	2017-02-08T00:00:00.0000000Z	210	3180307.94070845	XRP
5	6	0.00633	0.00643	0.00609	0.00633	2017-02-10T00:00:00.0000000Z	2017-02-09T00:00:00.0000000Z	258	3668016.47336572	XRP
6	7	0.00631	0.00635	0.00595	0.00626	2017-02-11T00:00:00.0000000Z	2017-02-10T00:00:00.0000000Z	200	3304346.37356864	XRP
7	8	0.00638	0.0064	0.00627	0.00631	2017-02-12T00:00:00.0000000Z	2017-02-11T00:00:00.0000000Z	52	935322.4501749	XRP
8	9	0.00627	0.00641	0.00627	0.00638	2017-02-13T00:00:00.0000000Z	2017-02-12T00:00:00.0000000Z	32	394667.02316645	XRP
9	10	0.00624	0.00635	0.0062	0.00635	2017-02-14T00:00:00.0000000Z	2017-02-13T00:00:00.0000000Z	252	4064556.7126455	XRP
10	11	0.00622	0.00638	0.00621	0.00625	2017-02-15T00:00:00.0000000Z	2017-02-14T00:00:00.0000000Z	197	3732586.65985723	XRP
11	12	0.0061	0.00629	0.00593	0.00628	2017-02-16T00:00:00.0000000Z	2017-02-15T00:00:00.0000000Z	309	6668402.96218602	XRP
12	13	0.00593	0.00636	0.005	0.00601	2017-02-17T00:00:00.0000000Z	2017-02-16T00:00:00.0000000Z	1111	27743846.73660316	XRP
13	14	0.00587	0.00611	0.00546	0.00589	2017-02-18T00:00:00.0000000Z	2017-02-17T00:00:00.0000000Z	618	17541861.16363875	XRP
14	15	0.00554	0.006	0.005	0.0059	2017-02-19T00:00:00.0000000Z	2017-02-18T00:00:00.0000000Z	377	11327977.29138772	XRP
15	16	0.00591	0.00591	0.00551	0.00556	2017-02-20T00:00:00.0000000Z	2017-02-19T00:00:00.0000000Z	122	1504903.37659945	XRP
16	17	0.00596	0.00597	0.00565	0.00591	2017-02-21T00:00:00.0000000Z	2017-02-20T00:00:00.0000000Z	173	2998005.52623867	XRP
17	18	0.00585	0.00596	0.00571	0.00596	2017-02-22T00:00:00.0000000Z	2017-02-21T00:00:00.0000000Z	103	2163503.54869107	XRP
18	19	0.00583	0.00595	0.00581	0.00589	2017-02-23T00:00:00.0000000Z	2017-02-22T00:00:00.0000000Z	79	3241254.95643253	XRP
19	20	0.00585	0.00594	0.00574	0.00582	2017-02-24T00:00:00.0000000Z	2017-02-23T00:00:00.0000000Z	166	4768633.11031541	XRP
20	21	0.0056	0.00595	0.0055	0.00584	2017-02-25T00:00:00.0000000Z	2017-02-24T00:00:00.0000000Z	265	3323913.32556931	XRP
21	22	0.00563	0.00583	0.0056	0.00571	2017-02-26T00:00:00.0000000Z	2017-02-25T00:00:00.0000000Z	134	918396.35667594	XRP
22	23	0.00566	0.00573	0.00562	0.00565	2017-02-27T00:00:00.0000000Z	2017-02-26T00:00:00.0000000Z	23	468461.13350097	XRP
23	24	0.00556	0.0057	0.00556	0.0057	2017-02-28T00:00:00.0000000Z	2017-02-27T00:00:00.0000000Z	55	1400351.05692715	XRP
24	25	0.00557	0.0057	0.00531	0.00558	2017-03-01T00:00:00.0000000Z	2017-02-28T00:00:00.0000000Z	341	6349357.05194869	XRP
25	26	0.00539	0.00558	0.00525	0.00555	2017-03-02T00:00:00.0000000Z	2017-03-01T00:00:00.0000000Z	269	5703754.55116686	XRP
26	27	0.00606	0.00635	0.00531	0.00531	2017-03-03T00:00:00.0000000Z	2017-03-02T00:00:00.0000000Z	953	24300660.96874801	XRP
27	28	0.00649	0.00651	0.00592	0.00604	2017-03-04T00:00:00.0000000Z	2017-03-03T00:00:00.0000000Z	521	11877749.38042653	XRP
28	29	0.0062	0.00668	0.0062	0.00649	2017-03-05T00:00:00.0000000Z	2017-03-04T00:00:00.0000000Z	238	4581328.2146564	XRP
29	30	0.00604	0.0063	0.00601	0.0062	2017-03-06T00:00:00.0000000Z	2017-03-05T00:00:00.0000000Z	155	2896435.72740019	XRP
30	31	0.00604	0.00618	0.00599	0.00603	2017-03-07T00:00:00.0000000Z	2017-03-06T00:00:00.0000000Z	98	1824633.52534607	XRP
31	32	0.00673	0.00687	0.00589	0.00611	2017-03-08T00:00:00.0000000Z	2017-03-07T00:00:00.0000000Z	655	16244643.99151905	XRP
32	33	0.0065	0.00692	0.00644	0.00672	2017-03-09T00:00:00.0000000Z	2017-03-08T00:00:00.0000000Z	380	9100648.30587207	XRP
33	34	0.00648	0.0066	0.00632	0.00643	2017-03-10T00:00:00.0000000Z	2017-03-09T00:00:00.0000000Z	248	11739581.37335651	XRP
34	35	0.00617	0.00669	0.0058	0.0065	2017-03-11T00:00:00.0000000Z	2017-03-10T00:00:00.0000000Z	781	14864256.80832601	XRP
35	36	0.00625	0.00642	0.00606	0.00617	2017-03-12T00:00:00.0000000Z	2017-03-11T00:00:00.0000000Z	210	6286461.04611958	XRP
36	37	0.00632	0.00634	0.00602	0.00616	2017-03-13T00:00:00.0000000Z	2017-03-12T00:00:00.0000000Z	101	2297253.25072341	XRP
37	38	0.00644	0.00648	0.006	0.00624	2017-03-14T00:00:00.0000000Z	2017-03-13T00:00:00.0000000Z	271	9490971.81379813	XRP
38	39	0.00639	0.00644	0.00626	0.0064	2017-03-15T00:00:00.0000000Z	2017-03-14T00:00:00.0000000Z	134	5524513.10109304	XRP
39	40	0.00625	0.00642	0.00625	0.00639	2017-03-16T00:00:00.0000000Z	2017-03-15T00:00:00.0000000Z	115	4893343.23967427	XRP
40	41	0.0063	0.00636	0.00601	0.00625	2017-03-17T00:00:00.0000000Z	2017-03-16T00:00:00.0000000Z	426	17305480.76931146	XRP
41	42	0.00597	0.00634	0.00576	0.0063	2017-03-18T00:00:00.0000000Z	2017-03-17T00:00:00.0000000Z	524	22458093.96306438	XRP
42	43	0.00688	0.00731	0.006	0.00605	2017-03-19T00:00:00.0000000Z	2017-03-18T00:00:00.0000000Z	1015	39856755.06546754	XRP
43	44	0.00669	0.0072	0.00642	0.00674	2017-03-20T00:00:00.0000000Z	2017-03-19T00:00:00.0000000Z	404	8591413.448949669	XRP
44	45	0.0069	0.00705	0.00645	0.00672	2017-03-21T00:00:00.0000000Z	2017-03-20T00:00:00.0000000Z	478	17755849.23703447	XRP
45	46	0.00682	0.00705	0.00663	0.0069	2017-03-22T00:00:00.0000000Z	2017-03-21T00:00:00.0000000Z	283	9980443.72703881	XRP
46	47	0.00719	0.00758	0.00679	0.00683	2017-03-23T00:00:00.0000000Z	2017-03-22T00:00:00.0000000Z	449	13672338.31162759	XRP
47	48	0.011	0.011	0.0072	0.0072	2017-03-24T00:00:00.0000000Z	2017-03-23T00:00:00.0000000Z	1197	37256038.60794884	XRP
48	49	0.01062	0.01182	0.00815	0.01079	2017-03-25T00:00:00.0000000Z	2017-03-24T00:00:00.0000000Z	1656	52112701.98231944	XRP
49	50	0.00888	0.01084	0.00879	0.01054	2017-03-26T00:00:00.0000000Z	2017-03-25T00:00:00.0000000Z	713	22048532.29628924	XRP
50	51	0.00937	0.00982	0.00888	0.009	2017-03-27T00:00:00.0000000Z	2017-03-26T00:00:00.0000000Z	241	5677720.01517841	XRP
51	52	0.00943	0.01025	0.009	0.00937	2017-03-28T00:00:00.0000000Z	2017-03-27T00:00:00.0000000Z	601	20978337.47396908	XRP
52	53	0.00955	0.00965	0.00906	0.00949	2017-03-29T00:00:00.0000000Z	2017-03-28T00:00:00.0000000Z	341	14394662.54598646	XRP
53	54	0.01015	0.01015	0.00946	0.00953	2017-03-30T00:00:00.0000000Z	2017-03-29T00:00:00.0000000Z	384	12085413.87938344	XRP
54	55	0.01383	0.0147	0.01016	0.01016	2017-03-31T00:00:00.0000000Z	2017-03-30T00:00:00.0000000Z	2008	47433362.24764201	XRP
55	56	0.0214	0.02254	0.01315	0.01349	2017-04-01T00:00:00.0000000Z	2017-03-31T00:00:00.0000000Z	4742	107986329.78182505	XRP
56	57	0.022	0.02323	0.01968	0.0214	2017-04-02T00:00:00.0000000Z	2017-04-01T00:00:00.0000000Z	1555	28914980.91894544	XRP
57	58	0.0615	0.0695	0.0075	0.022	2017-04-03T00:00:00.0000000Z	2017-04-02T00:00:00.0000000Z	9363	148469564.472696	XRP
58	59	0.03201	0.062	0.025	0.0615	2017-04-04T00:00:00.0000000Z	2017-04-03T00:00:00.0000000Z	5835	91948768.04367384	XRP
59	60	0.03787	0.0429	0.0269	0.0322	2017-04-05T00:00:00.0000000Z	2017-04-04T00:00:00.0000000Z	3607	54324842.86038647	XRP
60	61	0.03559	0.04108	0.035	0.03786	2017-04-06T00:00:00.0000000Z	2017-04-05T00:00:00.0000000Z	2084	33560099.72196952	XRP
61	62	0.0332	0.03728	0.029	0.03557	2017-04-07T00:00:00.0000000Z	2017-04-06T00:00:00.0000000Z	1826	32897644.831134178	XRP
62	63	0.03715	0.03873	0.03086	0.03269	2017-04-08T00:00:00.0000000Z	2017-04-07T00:00:00.0000000Z	2555	38970765.71690976	XRP
63	64	0.03575	0.0378	0.03515	0.03714	2017-04-09T00:00:00.0000000Z	2017-04-08T00:00:00.0000000Z	1050	14594390.60564032	XRP
64	65	0.03421	0.03578	0.03251	0.03578	2017-04-10T00:00:00.0000000Z	2017-04-09T00:00:00.0000000Z	744	8748607.56085895	XRP
65	66	0.03404	0.0359	0.0332	0.03475	2017-04-11T00:00:00.0000000Z	2017-04-10T00:00:00.0000000Z	618	10376371.66867896	XRP
66	67	0.03316	0.03513	0.032	0.03406	2017-04-12T00:00:00.0000000Z	2017-04-11T00:00:00.0000000Z	605	12537943.29824981	XRP
67	68	0.03455	0.0356	0.0322	0.03305	2017-04-13T00:00:00.0000000Z	2017-04-12T00:00:00.0000000Z	703	12568596.43302046	XRP
68	69	0.03422	0.03562	0.0337	0.03455	2017-04-14T00:00:00.0000000Z	2017-04-13T00:00:00.0000000Z	889	14319851.77158523	XRP
69	70	0.03348	0.03525	0.033	0.0343	2017-04-15T00:00:00.0000000Z	2017-04-14T00:00:00.0000000Z	628	8364050.404891979	XRP
